OF2,OF3,OF4,OF5,OF6,OF7,OF8,OF9,OF10,OF11,OF13,OF14,OF15,OF16,OF17,OF18,OF19,OF20,OF21,OF22,OF23,OF24,OF25,OF26,OF27,OF28,OF30,OF31,OF33,OF34,OF37,OF38,F1,F2,F3_a,F3_b,F3_c,F3_d,F3_e,F3_f,F3_g,F4,F5,F6,F7,F8,F9,F10,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,F41,F43,F44,F45,F46,F47,F48,F49,F50,F51,F52,F53,F54,F55,F56,F57,F58,F59,F62,F63,F64,F65,F66b,F67,F68,S1,S2,S4,S5,WS,WS_Benefit,SFST,SFST_Benefit,SR,SR_Benefit,PR,PR_Benefit,NR,NR_Benefit
4,5,7,4,2,1,4,2,3,5,6,4,6,2,3,0.1969,0.0,4,4,2,2,3,2,4,1697,2,0,0,0.0,0.0,0.0,2,2,4,1,0,0,1,0,4,3,1,224,4,3,4,2,1,1,3,3,1,1,3,1,1,3,2,2,4,3,2,1,3,2,3,1,5,4,5,3,1,0,0,1,1,1,2,4,0.0,3,3,1,4,2,1,5,1,4,1,1,6,1,7,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.185,3.894,5.701,5.736,3.896,4.258,6.142,6.586,4.865,5.198
4,4,7,2,2,1,5,1,2,6,3,5,5,4,2,0.322,0.0,4,4,1,1,2,2,4,1991,2,0,0,0.0,0.0,0.0,4,4,2,1,1,0,2,0,0,5,0,112,1,4,2,4,1,1,3,2,2,1,1,1,1,2,3,3,4,2,4,2,2,2,3,1,3,4,5,2,1,0,0,2,1,1,2,2,0.0,1,3,1,5,0,0,5,1,4,1,1,6,1,7,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.416666667,0.0,2.803,2.68,6.139,5.992,5.231,4.569,6.392,6.815,6.201,6.667
4,5,7,3,1,1,4,3,3,5,6,5,5,3,2,0.3181,0.0,4,4,2,1,2,1,4,1853,2,0,0,0.0,0.0,0.0,4,2,0,1,1,0,3,0,4,2,1,80,2,2,4,2,1,1,1,4,1,1,1,1,1,3,3,2,4,2,4,1,2,2,2,1,3,5,5,1,1,0,0,1,0,2,1,2,0.0,3,3,1,4,2,3,2,1,4,1,1,6,1,7,0.0,0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,4.208,3.136,3.952,3.284,4.528,1.152,6.208,1.975,5.936,4.444
4,4,7,2,3,3,4,4,3,5,5,5,6,3,2,0.252,0.0,4,4,2,1,3,1,4,2147,2,0,0,0.0,0.0,0.0,4,4,0,0,0,0,2,0,1,5,2,64,4,4,1,3,1,1,2,1,2,1,1,1,2,3,4,2,4,2,4,2,2,2,4,1,5,3,5,1,1,0,0,2,1,1,2,3,0.0,3,3,2,5,0,0,5,1,4,1,1,6,1,7,0.0,0,0.0,0.0,0.0,0.0,0.333333333,0.0,0.0,0.0,2.548,1.255,5.226,5.308,4.775,4.007,5.617,6.179,5.215,4.167
4,5,7,1,3,0,4,5,3,5,6,3,3,4,4,0.4,0.0,4,4,2,1,3,3,4,1496,2,0,0,0.0,0.0,0.0,2,2,3,1,0,1,0,1,2,5,1,64,4,4,1,1,1,1,2,4,2,2,1,1,1,2,3,2,4,1,3,2,2,3,5,1,4,4,5,2,1,0,0,2,1,1,1,3,0.0,1,3,1,5,0,0,5,1,4,1,1,6,1,7,0.0,1,4.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.782,1.0,5.59,3.444,5.283,3.937,6.632,6.056,5.639,4.167
4,5,7,2,3,1,5,4,3,5,3,4,6,4,3,0.52,0.0,4,4,1,1,3,1,5,1846,2,0,0,0.0,0.0,0.0,2,2,4,1,0,2,0,0,4,3,3,192,4,3,2,2,1,1,3,4,2,1,2,1,1,3,3,2,3,4,2,1,3,3,3,1,5,4,5,3,1,0,0,3,1,1,2,2,0.0,3,3,2,5,0,0,4,6,4,1,1,6,1,7,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.102,2.55,5.938,5.077,3.579,4.038,7.3,6.233,4.157,5.0
4,5,7,1,3,0,4,5,3,5,3,0,3,5,4,0.62,0.0,4,4,1,1,3,3,4,1523,0,0,0,0.0,0.0,0.0,2,3,4,1,0,1,1,0,4,2,3,192,1,2,2,1,1,1,3,1,2,1,2,2,1,2,4,4,3,1,3,2,2,2,2,1,3,3,5,2,1,0,0,2,1,1,1,4,0.0,1,3,1,5,0,0,5,1,4,1,1,6,1,7,0.0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.305,1.55,5.837,2.206,5.408,3.99,5.219,6.15,6.642,5.0
4,5,7,1,3,0,4,5,3,1,1,5,5,5,4,0.46,0.0,4,4,2,1,3,3,4,1730,2,0,0,0.0,0.0,0.0,2,3,4,2,1,1,3,0,2,3,1,96,2,3,2,3,2,1,3,1,2,2,2,1,1,2,3,3,4,1,3,2,2,2,5,1,3,2,5,2,1,1,1,3,1,2,1,5,0.0,1,3,1,4,2,2,5,1,4,1,2,6,1,7,0.0,2,7.03,404.0,0.0,0.0,0.0,0.0,0.0,0.0,5.157,1.92,3.956,2.479,5.786,4.01,5.418,6.279,6.988,4.444
4,5,6,1,3,0,4,5,3,1,5,4,3,5,4,0.29,0.0,4,4,2,1,3,1,4,2078,2,0,0,0.0,0.0,0.0,4,3,3,1,1,1,1,1,2,4,3,252,3,4,2,3,2,1,2,1,3,2,3,1,1,2,5,2,4,1,3,2,2,2,4,1,3,3,5,2,1,0,0,3,1,1,1,3,0.0,1,3,1,5,0,0,4,1,4,1,1,6,1,7,0.0,2,6.33,98.0,1.0,0.0,0.0,0.0,0.0,0.0,2.94,0.725,5.517,5.179,5.112,3.989,4.094,6.147,6.005,4.167
4,5,6,4,3,0,4,1,1,1,4,6,4,4,4,0.17,0.0,4,4,2,1,2,1,4,1933,2,0,0,0.0,0.0,0.0,4,4,3,0,0,0,2,0,2,4,3,64,4,4,2,2,2,1,2,1,2,2,1,2,1,2,3,2,5,1,3,2,3,3,5,1,4,2,5,2,1,1,1,3,1,2,1,3,0.0,1,2,1,3,2,2,5,1,4,3,2,5,1,7,0.0,2,7.03,242.0,1.0,0.0,0.333333333,0.0,0.0,0.0,4.379,2.34,4.312,3.693,5.4,4.443,5.465,7.498,5.951,10.0
